,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB
LS,0.7101449275362319,0.7101449275362319,0.7101449275362319,2.78743961352657,1.6570048309178744,1.6570048309178744,1.6570048309178744,2.78743961352657,3.5169082125603865,3.5169082125603865,3.5169082125603865,3.927536231884058,9.318840579710145,9.318840579710145,9.318840579710145,3.927536231884058,17.91304347826087,19.66183574879227,19.66183574879227,19.66183574879227,17.91304347826087,20.198067632850243,22.85024154589372,22.85024154589372,22.85024154589372,20.198067632850243
ST,0.2913568773234201,0.2913568773234201,0.2913568773234201,3.092936802973978,1.7490706319702602,1.7490706319702602,1.7490706319702602,3.092936802973978,3.836431226765799,3.836431226765799,3.836431226765799,4.443308550185874,9.893122676579926,9.893122676579926,9.893122676579926,4.443308550185874,18.04414498141264,19.83689591078067,19.83689591078067,19.83689591078067,18.04414498141264,19.933085501858734,22.03159851301115,22.03159851301115,22.03159851301115,19.933085501858734
RS,0.6798029556650246,0.6798029556650246,0.6798029556650246,2.9507389162561575,1.7881773399014778,1.7881773399014778,1.7881773399014778,2.9507389162561575,3.748768472906404,3.748768472906404,3.748768472906404,4.113300492610837,9.556650246305418,9.556650246305418,9.556650246305418,4.113300492610837,17.738916256157637,19.551724137931036,19.551724137931036,19.551724137931036,17.738916256157637,19.886699507389164,22.428571428571427,22.428571428571427,22.428571428571427,19.886699507389164
LW,3.493438320209974,3.493438320209974,3.493438320209974,0.2887139107611549,1.272965879265092,1.272965879265092,1.272965879265092,0.2887139107611549,1.6062992125984252,1.6062992125984252,1.6062992125984252,0.9658792650918635,7.062992125984252,7.062992125984252,7.062992125984252,0.9658792650918635,13.149606299212598,16.8503937007874,16.8503937007874,16.8503937007874,13.149606299212598,15.766404199475065,22.212598425196852,22.212598425196852,22.212598425196852,15.766404199475065
LF,3.8666666666666667,3.8666666666666667,3.8666666666666667,0.6,1.1333333333333333,1.1333333333333333,1.1333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,5.066666666666666,5.066666666666666,5.066666666666666,1.0,14.666666666666666,16.866666666666667,16.866666666666667,16.866666666666667,14.666666666666666,18.0,24.4,24.4,24.4,18.0
CF,2.5,2.5,2.5,0.7297297297297297,0.8783783783783784,0.8783783783783784,0.8783783783783784,0.7297297297297297,1.1891891891891893,1.1891891891891893,1.1891891891891893,1.7162162162162162,6.837837837837838,6.837837837837838,6.837837837837838,1.7162162162162162,15.743243243243244,18.216216216216218,18.216216216216218,18.216216216216218,15.743243243243244,18.43243243243243,23.635135135135137,23.635135135135137,23.635135135135137,18.43243243243243
RF,3.1875,3.1875,3.1875,0.75,1.125,1.125,1.125,0.75,1.0,1.0,1.0,1.25,5.3125,5.3125,5.3125,1.25,14.375,16.75,16.75,16.75,14.375,17.375,23.75,23.75,23.75,17.375
RW,3.6297297297297297,3.6297297297297297,3.6297297297297297,0.3081081081081081,1.3243243243243243,1.3243243243243243,1.3243243243243243,0.3081081081081081,1.6513513513513514,1.6513513513513514,1.6513513513513514,0.9378378378378378,7.094594594594595,7.094594594594595,7.094594594594595,0.9378378378378378,13.397297297297298,17.248648648648647,17.248648648648647,17.248648648648647,13.397297297297298,16.15945945945946,22.97027027027027,22.97027027027027,22.97027027027027,16.15945945945946
LAM,4.523809523809524,4.523809523809524,4.523809523809524,0.8095238095238095,1.619047619047619,1.619047619047619,1.619047619047619,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9047619047619048,5.190476190476191,5.190476190476191,5.190476190476191,0.9047619047619048,15.047619047619047,17.142857142857142,17.142857142857142,17.142857142857142,15.047619047619047,18.047619047619047,24.80952380952381,24.80952380952381,24.80952380952381,18.047619047619047
CAM,4.377870563674321,4.377870563674321,4.377870563674321,0.9634655532359081,1.4947807933194155,1.4947807933194155,1.4947807933194155,0.9634655532359081,0.5521920668058455,0.5521920668058455,0.5521920668058455,1.0260960334029228,3.7181628392484343,3.7181628392484343,3.7181628392484343,1.0260960334029228,10.822546972860126,12.111691022964509,12.111691022964509,12.111691022964509,10.822546972860126,13.14509394572025,18.080375782881003,18.080375782881003,18.080375782881003,13.14509394572025
RAM,5.666666666666667,5.666666666666667,5.666666666666667,0.6190476190476191,1.619047619047619,1.619047619047619,1.619047619047619,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.9523809523809523,4.380952380952381,4.380952380952381,4.380952380952381,0.9523809523809523,12.142857142857142,14.857142857142858,14.857142857142858,14.857142857142858,12.142857142857142,14.952380952380953,22.238095238095237,22.238095238095237,22.238095238095237,14.952380952380953
LM,4.130593607305936,4.130593607305936,4.130593607305936,0.5954337899543379,1.7789954337899543,1.7789954337899543,1.7789954337899543,0.5954337899543379,1.7059360730593607,1.7059360730593607,1.7059360730593607,0.7890410958904109,5.83013698630137,5.83013698630137,5.83013698630137,0.7890410958904109,10.541552511415524,13.779908675799087,13.779908675799087,13.779908675799087,10.541552511415524,12.930593607305935,18.77351598173516,18.77351598173516,18.77351598173516,12.930593607305935
LCM,6.111392405063291,6.111392405063291,6.111392405063291,3.7012658227848103,3.7645569620253165,3.7645569620253165,3.7645569620253165,3.7012658227848103,2.4430379746835444,2.4430379746835444,2.4430379746835444,2.7367088607594936,1.870886075949367,1.870886075949367,1.870886075949367,2.7367088607594936,4.549367088607595,3.6860759493670887,3.6860759493670887,3.6860759493670887,4.549367088607595,5.70126582278481,7.205063291139241,7.205063291139241,7.205063291139241,5.70126582278481
CM,5.356527977044476,5.356527977044476,5.356527977044476,2.784074605451937,2.9404591104734576,2.9404591104734576,2.9404591104734576,2.784074605451937,1.51506456241033,1.51506456241033,1.51506456241033,1.791248206599713,1.1915351506456242,1.1915351506456242,1.1915351506456242,1.791248206599713,3.5703012912482066,2.817790530846485,2.817790530846485,2.817790530846485,3.5703012912482066,4.458393113342898,5.93974175035868,5.93974175035868,5.93974175035868,4.458393113342898
RCM,6.099744245524296,6.099744245524296,6.099744245524296,3.9028132992327365,3.9335038363171355,3.9335038363171355,3.9335038363171355,3.9028132992327365,2.649616368286445,2.649616368286445,2.649616368286445,2.8286445012787724,1.7698209718670077,1.7698209718670077,1.7698209718670077,2.8286445012787724,3.7519181585677748,2.8797953964194374,2.8797953964194374,2.8797953964194374,3.7519181585677748,4.7851662404092075,6.012787723785166,6.012787723785166,6.012787723785166,4.7851662404092075
RM,4.1263345195729535,4.1263345195729535,4.1263345195729535,0.6396797153024911,1.8718861209964412,1.8718861209964412,1.8718861209964412,0.6396797153024911,1.8238434163701067,1.8238434163701067,1.8238434163701067,0.7962633451957295,5.902135231316726,5.902135231316726,5.902135231316726,0.7962633451957295,10.332740213523131,13.645017793594306,13.645017793594306,13.645017793594306,10.332740213523131,12.653024911032029,18.46708185053381,18.46708185053381,18.46708185053381,12.653024911032029
LWB,9.025641025641026,9.025641025641026,9.025641025641026,5.141025641025641,6.923076923076923,6.923076923076923,6.923076923076923,5.141025641025641,6.397435897435898,6.397435897435898,6.397435897435898,3.717948717948718,5.769230769230769,5.769230769230769,5.769230769230769,3.717948717948718,0.8974358974358975,3.3846153846153846,3.3846153846153846,3.3846153846153846,0.8974358974358975,1.2307692307692308,3.5,3.5,3.5,1.2307692307692308
LDM,7.8353909465020575,7.8353909465020575,7.8353909465020575,6.1193415637860085,5.934156378600823,5.934156378600823,5.934156378600823,6.1193415637860085,4.51440329218107,4.51440329218107,4.51440329218107,4.720164609053498,2.4979423868312756,2.4979423868312756,2.4979423868312756,4.720164609053498,3.353909465020576,1.6502057613168724,1.6502057613168724,1.6502057613168724,3.353909465020576,3.8724279835390947,3.740740740740741,3.740740740740741,3.740740740740741,3.8724279835390947
CDM,9.095991561181435,9.095991561181435,9.095991561181435,7.610759493670886,7.4978902953586495,7.4978902953586495,7.4978902953586495,7.610759493670886,5.893459915611814,5.893459915611814,5.893459915611814,5.9451476793248945,3.3734177215189876,3.3734177215189876,3.3734177215189876,5.9451476793248945,2.8438818565400843,0.6814345991561181,0.6814345991561181,0.6814345991561181,2.8438818565400843,2.8491561181434597,1.580168776371308,1.580168776371308,1.580168776371308,2.8491561181434597
RDM,8.161290322580646,8.161290322580646,8.161290322580646,6.891129032258065,6.560483870967742,6.560483870967742,6.560483870967742,6.891129032258065,5.165322580645161,5.165322580645161,5.165322580645161,5.358870967741935,2.870967741935484,2.870967741935484,2.870967741935484,5.358870967741935,3.4838709677419355,1.4556451612903225,1.4556451612903225,1.4556451612903225,3.4838709677419355,3.8830645161290325,3.1653225806451615,3.1653225806451615,3.1653225806451615,3.8830645161290325
RWB,8.74712643678161,8.74712643678161,8.74712643678161,4.873563218390805,6.689655172413793,6.689655172413793,6.689655172413793,4.873563218390805,6.183908045977011,6.183908045977011,6.183908045977011,3.5057471264367814,5.7701149425287355,5.7701149425287355,5.7701149425287355,3.5057471264367814,0.7701149425287356,3.32183908045977,3.32183908045977,3.32183908045977,0.7701149425287356,1.1264367816091954,3.264367816091954,3.264367816091954,3.264367816091954,1.1264367816091954
LB,9.87821482602118,9.87821482602118,9.87821482602118,6.132375189107413,8.032526475037821,8.032526475037821,8.032526475037821,6.132375189107413,7.52874432677761,7.52874432677761,7.52874432677761,4.658850226928895,6.590771558245083,6.590771558245083,6.590771558245083,4.658850226928895,0.651285930408472,3.1399394856278366,3.1399394856278366,3.1399394856278366,0.651285930408472,0.6951588502269289,2.3403933434190622,2.3403933434190622,2.3403933434190622,0.6951588502269289
LCB,17.59722222222222,17.59722222222222,17.59722222222222,19.030864197530864,18.82716049382716,18.82716049382716,18.82716049382716,19.030864197530864,18.010802469135804,18.010802469135804,18.010802469135804,16.632716049382715,13.552469135802468,13.552469135802468,13.552469135802468,16.632716049382715,7.041666666666667,4.520061728395062,4.520061728395062,4.520061728395062,7.041666666666667,5.276234567901234,0.0941358024691358,0.0941358024691358,0.0941358024691358,5.276234567901234
CB,17.069178852643418,17.069178852643418,17.069178852643418,18.782902137232846,18.574240719910012,18.574240719910012,18.574240719910012,18.782902137232846,18.017435320584926,18.017435320584926,18.017435320584926,16.645106861642294,14.080427446569178,14.080427446569178,14.080427446569178,16.645106861642294,7.092800899887514,4.987626546681665,4.987626546681665,4.987626546681665,7.092800899887514,5.119235095613049,0.046681664791901015,0.046681664791901015,0.046681664791901015,5.119235095613049
RCB,17.94108761329305,17.94108761329305,17.94108761329305,19.793051359516618,19.376132930513595,19.376132930513595,19.376132930513595,19.793051359516618,18.6012084592145,18.6012084592145,18.6012084592145,17.395770392749245,14.01963746223565,14.01963746223565,14.01963746223565,17.395770392749245,7.539274924471299,4.672205438066465,4.672205438066465,4.672205438066465,7.539274924471299,5.6314199395770395,0.08157099697885196,0.08157099697885196,0.08157099697885196,5.6314199395770395
RB,10.217660728117739,10.217660728117739,10.217660728117739,6.5127807900852055,8.401239349341596,8.401239349341596,8.401239349341596,6.5127807900852055,7.852052672347018,7.852052672347018,7.852052672347018,4.927188226181255,6.800154918667699,6.800154918667699,6.800154918667699,4.927188226181255,0.6855151045701007,3.0704879938032534,3.0704879938032534,3.0704879938032534,0.6855151045701007,0.6878388845855926,2.1680867544539115,2.1680867544539115,2.1680867544539115,0.6878388845855926
